id,chat_match,delay,type,sender,text,next,options,timeout,default_next,tag,thresholds,require_tag
,,,,,,,,,,,
,,,,,【班主任晨间大作战 - 新手教程】,情绪管理,信息筛选,效率至上
,,,,,,,,,,,
tut_1,新手教程,0,message,系统,═══════════════════════════════════════,tut_2,,,优秀班主任,速通高手
tut_2,新手教程,0,message,系统,欢迎来到《班主任晨间大作战》！,tut_3,,,新手,速通高手
tut_3,新手教程,0,message,系统,现在是 2026年3月18日 周三 上午 8:00,,,,新手
tut_4,新手教程,0,message,系统,你是一名高中班主任，刚刚到办公室,,,,新手
tut_5,新手教程,0,message,系统,接下来的10分钟里，你将面对海量的工作消息,,,,新手
tut_6,新手教程,0,message,系统,【核心玩法】,tut_7,,,新手
tut_7,新手教程,0,message,系统,1. 在不同的群里收集关键信息,,,,新手
tut_8,新手教程,0,message,系统,2. 将重要通知转发到正确的群,,,,新手
tut_9,新手教程,0,message,系统,3. 根据转发速度和准确性获得评分,,,,新手
tut_10,新手教程,0,message,系统,【评分规则】,tut_11,,,新手
tut_11,新手教程,0,message,系统,• 快速响应：在消息发出后2分钟内转发 → 获得「效率至上」标签,,,,新手
tut_12,新手教程,0,message,系统,• 准确筛选：正确识别需要转发的消息 → 获得「信息筛选」标签,,,,新手
tut_13,新手教程,0,message,系统,• 情绪稳定：不被大量消息压垮 → 获得「情绪管理」标签,,,,新手
tut_14,新手教程,0,message,系统,【操作指南】,tut_15,,,新手
tut_15,新手教程,0,message,系统,💡 提示：当输入框变为白色时，随意敲击键盘即可自动输入回复,,,,新手
tut_16,新手教程,0,message,系统,💡 提示：当输入框变为绿色时，需要手动输入完整内容,,,,新手
tut_17,新手教程,0,message,系统,💡 提示：在"学生家长群"和"学生班群"中，你需要转发重要通知,,,,新手
tut_18,新手教程,0,message,系统,准备好了吗？让我们开始练习吧！,tut_19,,,新手
tut_19,新手教程,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,tut_20,,,新手
tut_20,新手教程,0,message,系统,【练习任务】,tut_21,,,新手
tut_21,新手教程,0,message,系统,假设你收到了一条重要通知：,tut_22,,,新手
tut_22,新手教程,0,message,系统,「明天下午4点在学术报告厅召开家长会」,tut_23,,,新手
tut_23,新手教程,0,message,系统,你需要将这条通知转发到哪个群？,tut_24,,,新手
tut_24,新手教程,0,choice,系统,请选择应该转发的目标群：,tut_pass,tut_fail1|转发到班主任通知群>tut_fail1,15,tut_retry,转发到家长群>tut_pass,信息筛选,新手
tut_25,新手教程,0,message,系统,回答正确！,tut_26,,,新手
tut_26,新手教程,0,message,系统,家长会通知应该转发给家长，所以应该转发到【学生家长群】,,,,新手
tut_27,新手教程,0,message,系统,现在练习一下自动输入功能：,tut_28,,,新手
tut_28,新手教程,0,message,系统,请在下方输入框随意敲击键盘，系统会自动填充回复内容,tut_29,,,新手
tut_29,新手教程,0,wait_input,收到，我会转发到学生家长群,tut_30,,,,新手
tut_30,新手教程,0.5,typing,系统,,,,,新手
tut_31,新手教程,1,message,系统,✓ 练习完成！,tut_32,,,新手
tut_32,新手教程,0,message,系统,【重要提醒】,tut_33,,,新手
tut_33,新手教程,0,message,系统,⏰ 当前游戏时间已冻结（8:00）,tut_34,,,新手
